dataset,seed,fitness_method,accuracy,macro_f1,mean_per_class_accuracy
real_iris_3c,2,accuracy,0.9111111111111111,0.9095022624434389,0.9111111111111111
real_iris_3c,2,f1_score,1.0,1.0,1.0
real_iris_3c,2,pearson_r2,1.0,1.0,1.0
real_iris_3c,3,accuracy,0.9333333333333333,0.9313769414575866,0.9333333333333332
real_iris_3c,3,f1_score,0.9111111111111111,0.9109126984126984,0.9111111111111111
real_iris_3c,3,pearson_r2,0.9111111111111111,0.9109126984126984,0.9111111111111111
real_iris_3c,4,accuracy,0.9555555555555556,0.9555555555555556,0.9555555555555556
real_iris_3c,4,f1_score,0.9555555555555556,0.9555555555555556,0.9555555555555556
real_iris_3c,4,pearson_r2,0.9333333333333333,0.932542330985045,0.9333333333333332
real_iris_3c,5,accuracy,0.7111111111111111,0.6872294372294373,0.7111111111111111
real_iris_3c,5,f1_score,0.9333333333333333,0.9313769414575866,0.9333333333333332
real_iris_3c,5,pearson_r2,0.9333333333333333,0.9332591768631814,0.9333333333333332
real_iris_3c,6,accuracy,0.5777777777777777,0.4861329147043432,0.5777777777777778
real_iris_3c,6,f1_score,0.8222222222222222,0.8166283524904214,0.8222222222222223
real_iris_3c,6,pearson_r2,0.8888888888888888,0.8851802070888093,0.8888888888888888
real_iris_3c,7,accuracy,0.8444444444444444,0.8421093507300405,0.8444444444444444
real_iris_3c,7,f1_score,0.8888888888888888,0.8877665544332212,0.8888888888888888
real_iris_3c,7,pearson_r2,0.8888888888888888,0.8857142857142857,0.8888888888888888
real_wine_3c,0,accuracy,0.5925925925925926,0.5678186547751766,0.6349206349206349
real_wine_3c,0,f1_score,0.7037037037037037,0.7064393939393939,0.7380952380952381
real_wine_3c,0,pearson_r2,0.8148148148148148,0.816640169581346,0.8306878306878307
real_wine_3c,1,accuracy,0.5925925925925926,0.5121870882740448,0.6455026455026455
real_wine_3c,1,f1_score,0.7222222222222222,0.7222222222222222,0.7269841269841271
real_wine_3c,1,pearson_r2,0.7037037037037037,0.7066519931523599,0.7306878306878307
real_wine_3c,2,accuracy,0.6111111111111112,0.6028860156215524,0.6370370370370371
real_wine_3c,2,f1_score,0.6481481481481481,0.6160767337237926,0.6613756613756614
real_wine_3c,2,pearson_r2,0.7037037037037037,0.6964912280701755,0.7317460317460318
real_wine_3c,3,accuracy,0.8518518518518519,0.8477722411632719,0.8534391534391533
real_wine_3c,3,f1_score,0.8888888888888888,0.8871345029239767,0.8894179894179893
real_wine_3c,3,pearson_r2,0.8333333333333334,0.8278620083498133,0.834920634920635
real_wine_3c,4,accuracy,0.7222222222222222,0.7094806763285023,0.7492063492063492
real_wine_3c,4,f1_score,0.9074074074074074,0.899628692732141,0.898941798941799
real_wine_3c,4,pearson_r2,0.7037037037037037,0.7100256769374417,0.7227513227513228
real_wine_3c,5,accuracy,0.7222222222222222,0.7175324675324676,0.753968253968254
real_wine_3c,5,f1_score,0.7222222222222222,0.7227586206896551,0.7555555555555555
real_wine_3c,5,pearson_r2,0.7407407407407407,0.7341452710116304,0.7777777777777777
real_wine_3c,6,accuracy,0.7777777777777778,0.7730263157894738,0.8042328042328042
real_wine_3c,6,f1_score,0.8518518518518519,0.8547378547378548,0.8486772486772486
real_wine_3c,6,pearson_r2,0.6111111111111112,0.5347474747474749,0.6640211640211641
real_wine_3c,7,accuracy,0.6296296296296297,0.6076377523186034,0.671957671957672
real_wine_3c,7,f1_score,0.6111111111111112,0.5840258958145137,0.6460317460317461
real_wine_3c,7,pearson_r2,0.8148148148148148,0.8089985994397759,0.8412698412698413
real_digits_10c,0,accuracy,0.2111111111111111,0.1933631110051997,0.2115808056374094
real_digits_10c,0,f1_score,0.5203703703703704,0.46513333772621773,0.5205807469958413
real_digits_10c,0,pearson_r2,0.5074074074074074,0.46144178899978455,0.508482698294019
real_digits_10c,1,accuracy,0.2037037037037037,0.16739239599443895,0.20306524363128134
real_digits_10c,1,f1_score,0.4703703703703704,0.4332712159248195,0.47205338337413805
real_digits_10c,1,pearson_r2,0.4925925925925926,0.4307841000383744,0.4920176608855854
real_digits_10c,2,accuracy,0.2074074074074074,0.17246450266281382,0.20783431802299726
real_digits_10c,2,f1_score,0.4925925925925926,0.4620201331424435,0.49199755171453274
real_digits_10c,2,pearson_r2,0.4759259259259259,0.4149737168292849,0.47411114043189506
real_digits_10c,3,accuracy,0.22037037037037038,0.18940994155001936,0.22092941998602375
real_digits_10c,3,f1_score,0.5555555555555556,0.5395919305599394,0.555136879193483
real_digits_10c,3,pearson_r2,0.48703703703703705,0.4174295972808416,0.48757639285941173
real_digits_10c,4,accuracy,0.29814814814814816,0.2146316478653242,0.29794993964805283
real_digits_10c,4,f1_score,0.5018518518518519,0.439751591797705,0.5027158620554847
real_digits_10c,4,pearson_r2,0.562962962962963,0.5447399382032457,0.5625996295807616
real_digits_10c,5,accuracy,0.21481481481481482,0.14381469561473703,0.2147811447811448
real_digits_10c,5,f1_score,0.5074074074074074,0.4919242045371652,0.5068435931643478
real_digits_10c,5,pearson_r2,0.4388888888888889,0.40120178015671576,0.4387912995460165
real_digits_10c,6,accuracy,0.22592592592592592,0.16061888010771475,0.227606886474811
real_digits_10c,6,f1_score,0.5333333333333333,0.5145759142179427,0.5334088343522305
real_digits_10c,6,pearson_r2,0.5259259259259259,0.4918255800527615,0.5267525765638973
real_digits_10c,7,accuracy,0.15925925925925927,0.11294253566405466,0.15878787878787878
real_digits_10c,7,f1_score,0.43148148148148147,0.37805060135764357,0.4310585291717367
real_digits_10c,7,pearson_r2,0.46296296296296297,0.40562013644641504,0.4630995733825922
syn_bin_balanced,0,accuracy,0.8833333333333333,0.883156625761182,0.8838745524138782
syn_bin_balanced,0,f1_score,0.9111111111111111,0.9110671936758893,0.9109766637856526
syn_bin_balanced,0,pearson_r2,0.8722222222222222,0.8721235521235522,0.8726385973576984
syn_bin_balanced,1,accuracy,0.7777777777777778,0.7714285714285714,0.7760217310779108
